URL,original_label,method,prediction
montreal.louer.com/ahuntsic-rentals/houses-rent/,benign,ai,benign
montreal.louer.com/ahuntsic-rentals/houses-rent/,benign,deterministic,defacement
comunidade.sol.pt/blogs/hytigin/default.aspx,benign,ai,benign
comunidade.sol.pt/blogs/hytigin/default.aspx,benign,deterministic,defacement
youtube.com/watch?v=PUDOlyCpHwo,benign,ai,benign
youtube.com/watch?v=PUDOlyCpHwo,benign,deterministic,defacement
uiowa.edu/~acadtech/phonetics/,benign,ai,benign
uiowa.edu/~acadtech/phonetics/,benign,deterministic,defacement
flixster.com/actor/steve-mcqueen,benign,ai,benign
flixster.com/actor/steve-mcqueen,benign,deterministic,defacement
http://stackoverflow.com/questions/5069876/regex-finding-all-line-breaks-without-an-as-previous-character,benign,ai,benign
http://stackoverflow.com/questions/5069876/regex-finding-all-line-breaks-without-an-as-previous-character,benign,deterministic,benign
en.goldenmap.com/City_of_Playford,benign,ai,benign
en.goldenmap.com/City_of_Playford,benign,deterministic,defacement
content.usatoday.com/community/tags/topic.aspx?req=tag&tag=Andre%20Ward,benign,ai,benign
content.usatoday.com/community/tags/topic.aspx?req=tag&tag=Andre%20Ward,benign,deterministic,defacement
music.concordia.ca/,benign,ai,benign
music.concordia.ca/,benign,deterministic,defacement
en.wikipedia.org/wiki/Aveos_Fleet_Performance,benign,ai,benign
en.wikipedia.org/wiki/Aveos_Fleet_Performance,benign,deterministic,defacement
informatica.techtiks.com/beginners.html,benign,ai,benign
informatica.techtiks.com/beginners.html,benign,deterministic,defacement
leftoutside.wordpress.com/,benign,ai,benign
leftoutside.wordpress.com/,benign,deterministic,defacement
http://icicibank.com/privilege-banking/personal/Pure-Gold.page?utm_source=gold&utm_medium=text&utm_campaign=PB-flyout,benign,ai,benign
http://icicibank.com/privilege-banking/personal/Pure-Gold.page?utm_source=gold&utm_medium=text&utm_campaign=PB-flyout,benign,deterministic,benign
facebook.com/people/Alvin-Sanders/1378200379,benign,ai,benign
facebook.com/people/Alvin-Sanders/1378200379,benign,deterministic,defacement
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&attachauth=ANoY7co673b_IGkWXgcgXMVwZlhgvK-P7bKXFHeAtiN8LFBlO4ZiqFffyt_rBfEnulCdyJEGxorGlbM9r6HVO9-xQqSvZVTftEgB8l_ZOO58cqBwVvOB06kQKGpCgPxYk0xRn6Eigzf87rWCcJ0Skr8lwnb_nkpeRMoCPwvlmNSnPAhNgim9IL5Hy3aZagzP3m75irfAlT0AhiwlIGAqdXcXY9Wb0pj2xw\%3D\%3D&attredirects=0',benign,ai,benign
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&attachauth=ANoY7co673b_IGkWXgcgXMVwZlhgvK-P7bKXFHeAtiN8LFBlO4ZiqFffyt_rBfEnulCdyJEGxorGlbM9r6HVO9-xQqSvZVTftEgB8l_ZOO58cqBwVvOB06kQKGpCgPxYk0xRn6Eigzf87rWCcJ0Skr8lwnb_nkpeRMoCPwvlmNSnPAhNgim9IL5Hy3aZagzP3m75irfAlT0AhiwlIGAqdXcXY9Wb0pj2xw\%3D\%3D&attredirects=0',benign,deterministic,defacement
fanpix.net/gallery/cam-clarke-pictures.htm,benign,ai,benign
fanpix.net/gallery/cam-clarke-pictures.htm,benign,deterministic,defacement
facebook.com/people/Bobby-Halford/1074705824,benign,ai,benign
facebook.com/people/Bobby-Halford/1074705824,benign,deterministic,defacement
800padutch.com/mem-out.shtml,benign,ai,benign
800padutch.com/mem-out.shtml,benign,deterministic,defacement
chinatownology.com/chinatown_montreal.html,benign,ai,benign
chinatownology.com/chinatown_montreal.html,benign,deterministic,defacement
worldwidescience.org/topicpages/a/acute+myocardial+infarction.html,benign,ai,benign
worldwidescience.org/topicpages/a/acute+myocardial+infarction.html,benign,deterministic,defacement
lead411.com/company_UniversityofCaliforniaBerkeley_Lim_597875.html,benign,ai,benign
lead411.com/company_UniversityofCaliforniaBerkeley_Lim_597875.html,benign,deterministic,defacement
museum.bmi.net/MARIE%20DORION.htm,benign,ai,benign
museum.bmi.net/MARIE%20DORION.htm,benign,deterministic,defacement
treasury.govt.nz/economy/guarantee/wholesale,benign,ai,benign
treasury.govt.nz/economy/guarantee/wholesale,benign,deterministic,defacement
hamsternames.info/Actor-F/Geff-Francis/,benign,ai,benign
hamsternames.info/Actor-F/Geff-Francis/,benign,deterministic,defacement
wiki.answers.com/Q/How_many_cities_are_in_California,benign,ai,benign
wiki.answers.com/Q/How_many_cities_are_in_California,benign,deterministic,defacement
logos.wikia.com/wiki/Cartoon_Network_Studios,benign,ai,benign
logos.wikia.com/wiki/Cartoon_Network_Studios,benign,deterministic,defacement
rottentomatoes.com/m/rory_o_shea_was_here/,benign,ai,benign
rottentomatoes.com/m/rory_o_shea_was_here/,benign,deterministic,defacement
modernegallery.com/pages/esherick/esherick_woodcuts.html,benign,ai,benign
modernegallery.com/pages/esherick/esherick_woodcuts.html,benign,deterministic,defacement
www.promocao-cielo.tk/cadastro.php,benign,ai,benign
www.promocao-cielo.tk/cadastro.php,benign,deterministic,defacement
