email_content,original_label,type,method,prediction,llm_detection
"Re: [opensuse] OpenSuse 11 Benji Weber wrote:
> On 07/02/2008, Mike  wrote:
>>> The notion that malware on linux was technically not feasible is
>>> highly irrational. I think experienced senior linux users shouldn't
>>> keep on spreading this deceptive mantra. You should know better.
>> Why is it irrational? I disagree with that statement. Unless you can of
>> course show me an attachment that auto-executes under linux.
>>
>>
>>> Malware is not entirely about root, remember? John Doe user accounts
>>> with dsl pipes, privacy breaches, Apps-can-do-all etc. You know the
>>> list.
>> No, it's not all about root. But it is about doing something stupid.
>> There's no other way to describe it. First it has to be
>> downloaded/saved. Then it has to be made executable. Then it has to be
>> run. If all three things are done, then yes, you have a problem. But
>> it's a three step process.
> 
> This is not the case. A browser running as a user can do anything the
> user is allowed to do. For example an exploit in the browser or image
> viewing library which can be exploited through malicious javascript or
> crafted image could potentially delete all your user files. It could
> be used to launch a denial of service attack or spam from your machine
> (no need for root for this). If combined with a local root exploit
> (which are not uncommon) it could potentially even get root and have
> full control over the system. Same applies to your mail client, irc
> client, and other such applications.
> 
> This is why it is important to both keep the software up to date, and
> still not run untrusted code. If you completely ignore security by
> blindly visiting pages with possible malware on, or running all email
> attachments etc, even on openSUSE/GNU/Linux you are vulnerable.
> 
> There are technologies which can help, like apparmor/selinux etc, but
> these are not yet user friendly enough for desktop users to use.
> 
> If you have an ssh server listening on the internet and you watch your
> logs I would be surprised if you have not noticed brute force attacks.
> Precautions such as strong passwords and fail2ban are important even
> for home machines if you run sshd.
> 
> GNU/Linux systems are no less exploitable than windows. In some
> respects they are more exploitable due to the more powerful tools they
> have installed. Windows tends to be fairly locked down by default now.
> 
> The only reason you have a false sense of security now is that you are
> not a significant enough target for malware authors. When that changes
> if too many people have the same attitude then there will be a
> problem.

Worst-case scenario is loss of personal data, and/or
run-away process which consumes resources (memory or
disk space if not constrained by ulimit or quota) until
there's a system crash.

What you WON'T have to do is reinstall the whole system.

You see...the whole Unix security model PRESUMED that
a user might (either unintentionally or intentionally)
write and/or execute a run-away process which could
be destructive.  Write-permissions (or lack of them)
prevent the process from doing damage to anything other
than the user's own personal files.",legit,Human-written,ai,legit,Human-written
"Re: [opensuse] OpenSuse 11 Benji Weber wrote:
> On 07/02/2008, Mike  wrote:
>>> The notion that malware on linux was technically not feasible is
>>> highly irrational. I think experienced senior linux users shouldn't
>>> keep on spreading this deceptive mantra. You should know better.
>> Why is it irrational? I disagree with that statement. Unless you can of
>> course show me an attachment that auto-executes under linux.
>>
>>
>>> Malware is not entirely about root, remember? John Doe user accounts
>>> with dsl pipes, privacy breaches, Apps-can-do-all etc. You know the
>>> list.
>> No, it's not all about root. But it is about doing something stupid.
>> There's no other way to describe it. First it has to be
>> downloaded/saved. Then it has to be made executable. Then it has to be
>> run. If all three things are done, then yes, you have a problem. But
>> it's a three step process.
> 
> This is not the case. A browser running as a user can do anything the
> user is allowed to do. For example an exploit in the browser or image
> viewing library which can be exploited through malicious javascript or
> crafted image could potentially delete all your user files. It could
> be used to launch a denial of service attack or spam from your machine
> (no need for root for this). If combined with a local root exploit
> (which are not uncommon) it could potentially even get root and have
> full control over the system. Same applies to your mail client, irc
> client, and other such applications.
> 
> This is why it is important to both keep the software up to date, and
> still not run untrusted code. If you completely ignore security by
> blindly visiting pages with possible malware on, or running all email
> attachments etc, even on openSUSE/GNU/Linux you are vulnerable.
> 
> There are technologies which can help, like apparmor/selinux etc, but
> these are not yet user friendly enough for desktop users to use.
> 
> If you have an ssh server listening on the internet and you watch your
> logs I would be surprised if you have not noticed brute force attacks.
> Precautions such as strong passwords and fail2ban are important even
> for home machines if you run sshd.
> 
> GNU/Linux systems are no less exploitable than windows. In some
> respects they are more exploitable due to the more powerful tools they
> have installed. Windows tends to be fairly locked down by default now.
> 
> The only reason you have a false sense of security now is that you are
> not a significant enough target for malware authors. When that changes
> if too many people have the same attitude then there will be a
> problem.

Worst-case scenario is loss of personal data, and/or
run-away process which consumes resources (memory or
disk space if not constrained by ulimit or quota) until
there's a system crash.

What you WON'T have to do is reinstall the whole system.

You see...the whole Unix security model PRESUMED that
a user might (either unintentionally or intentionally)
write and/or execute a run-away process which could
be destructive.  Write-permissions (or lack of them)
prevent the process from doing damage to anything other
than the user's own personal files.",legit,Human-written,deterministic,legit,Human-written
"Re: score Can you point me to a good regex tutorial?  The one I have found has 
given me a lot of good starting stuff, but it doesn't mention the ?:, 
and I'd like to learn more.
--Thanks.

Matt Kettler wrote:
> The regex for the rule is:
> /\\bfree (?:porn|xxx|adult)/i

-- 
Paul Douglas Franklin
Computer Manager, Union Gospel Mission of Yakima, Washington
Husband of Danette
Father of Laurene, Miriam, Tycko, Timothy, Sarabeth, Marie, Dawnita, Anna Leah, Alexander, and Caleb",legit,Human-written,ai,legit,Human-written
"Re: score Can you point me to a good regex tutorial?  The one I have found has 
given me a lot of good starting stuff, but it doesn't mention the ?:, 
and I'd like to learn more.
--Thanks.

Matt Kettler wrote:
> The regex for the rule is:
> /\\bfree (?:porn|xxx|adult)/i

-- 
Paul Douglas Franklin
Computer Manager, Union Gospel Mission of Yakima, Washington
Husband of Danette
Father of Laurene, Miriam, Tycko, Timothy, Sarabeth, Marie, Dawnita, Anna Leah, Alexander, and Caleb",legit,Human-written,deterministic,legit,Human-written
"[UAI] parameter estimation question Dear Sirs, could you please answer the following question. Is there any 
software available implementing the Maximum Likelihood estimation 
of the parameters of Dirichlet distribution?",legit,Human-written,ai,phishing,Human-written
"[UAI] parameter estimation question Dear Sirs, could you please answer the following question. Is there any 
software available implementing the Maximum Likelihood estimation 
of the parameters of Dirichlet distribution?",legit,Human-written,deterministic,legit,Human-written
"[UAI] Job Opening at BISC Program, UCB; *********************************************************************
Berkeley Initiative in Soft Computing (BISC)
*********************************************************************

*********************************************************************

Please read the qualification for Jobs before you Apply. Incomplete 
applications will not be considered for review. The current opening 
positions at BISC are:

-------------------------------------------------------------------

-- Software Developer and R&D for the BISC-DSS (Decision Support System) 
[Ref. Dr. Nikravesh, BISC-DSS and Web-Based DSS)

-- Software Developer and R&D for the BISC - Q&A System (Question & 
Answering
System)[Ref. Prof. Zadeh's Recent work; From Search Engine to Question 
Answering System]

For more information about BISC-DSS and Q&A System please visit BISC 
website.


=========================================================
**********************************************************

Applicant are invited for several postdoctoral/ research professional
positions at BISC Program-University of California, Berkeley. You'll
enjoy challenging projects and a unique work environment at BISC
Program.

The BISC program carry out world class research and advanced
development activities in area of Soft Computing and Artificial
Intelligence.
Research teams within BISC Program-UCB take  part in international R&D
programmes to ensure that the research remains leading edge and relevant
to the BISC's strategic objectives. BISC Program have been successfully
exploiting results of its research in the sponsors companies' project
creating significant values for our partners.

The successful candidates will  have the opportunity to be  involved in
defining new research field/directions and will take an active role  in
carrying out R&D activities in an area that will be of significant
importance for BISC future.

Required Qualifications and skills :
============================
We are seeking recognized researchers to play active roles in  BISC
program.

- --They should have PhD  or equivalent degree in areas such as computer
science and/or Engineering field, artificial  intelligence, and/or soft
computing with emphasis to one or more of the following 1) the Search
Engine and Query, 2) Question-Answering System, 3) Decision Support
Systems,  Time Series Analysis/Signal Processing.
- -- They must have good software engineering skills and practical
experience in Internet based technology and software development, Java,
C++ and systems programming.
- -- They should have an excellent publication record track in refereed
journals and good communication skills.

Salary: Depends on Experience and Qualification
PostDocs: $40,512-$55,668
Research Positions: $53,900-$71,400
Others: Open
Date for Accepting Applications: August 2004
Closing Date: Nov. 2004
Review process Begins: September 2004
Starting Date: Oct. 2004-Jan 2005



Please forward your CV and supporting information including copy of
three published papers in refereed journals (relevant to the position
and the field that you are applying for), and cover letter to:

M. Nikravesh
BISC Associate Director
199MF Cory Hall
EECS Department
University of Calaifornia-Berkeley
Berkeley, CA 94720

Or Email electronic copy to:
gmoizjagn@eecs.berkeley.edu in Subject (Applying for Position at BISC
Program)

================================================
================================================
******************************************************


-- How to Join BISC Program:
---------------------------------
http://www-bisc.cs.berkeley.edu/BISCProgram/Sponsors.htm


-----------------------------------------------------------------
****************************************************

-- BISC Associate Program
-------------------------------

http://www-bisc.cs.berkeley.edu/BISCProgram/Associate.htm

-----------------------------------------------------------------
****************************************************



--------------------------------------------------------------------
If you ever want to remove yourself from this mailing list,
you can send mail to  with the following
command in the body of your email message:
unsubscribe bisc-group
or from another account,
unsubscribe bisc-group",legit,Human-written,ai,legit,Human-written
"[UAI] Job Opening at BISC Program, UCB; *********************************************************************
Berkeley Initiative in Soft Computing (BISC)
*********************************************************************

*********************************************************************

Please read the qualification for Jobs before you Apply. Incomplete 
applications will not be considered for review. The current opening 
positions at BISC are:

-------------------------------------------------------------------

-- Software Developer and R&D for the BISC-DSS (Decision Support System) 
[Ref. Dr. Nikravesh, BISC-DSS and Web-Based DSS)

-- Software Developer and R&D for the BISC - Q&A System (Question & 
Answering
System)[Ref. Prof. Zadeh's Recent work; From Search Engine to Question 
Answering System]

For more information about BISC-DSS and Q&A System please visit BISC 
website.


=========================================================
**********************************************************

Applicant are invited for several postdoctoral/ research professional
positions at BISC Program-University of California, Berkeley. You'll
enjoy challenging projects and a unique work environment at BISC
Program.

The BISC program carry out world class research and advanced
development activities in area of Soft Computing and Artificial
Intelligence.
Research teams within BISC Program-UCB take  part in international R&D
programmes to ensure that the research remains leading edge and relevant
to the BISC's strategic objectives. BISC Program have been successfully
exploiting results of its research in the sponsors companies' project
creating significant values for our partners.

The successful candidates will  have the opportunity to be  involved in
defining new research field/directions and will take an active role  in
carrying out R&D activities in an area that will be of significant
importance for BISC future.

Required Qualifications and skills :
============================
We are seeking recognized researchers to play active roles in  BISC
program.

- --They should have PhD  or equivalent degree in areas such as computer
science and/or Engineering field, artificial  intelligence, and/or soft
computing with emphasis to one or more of the following 1) the Search
Engine and Query, 2) Question-Answering System, 3) Decision Support
Systems,  Time Series Analysis/Signal Processing.
- -- They must have good software engineering skills and practical
experience in Internet based technology and software development, Java,
C++ and systems programming.
- -- They should have an excellent publication record track in refereed
journals and good communication skills.

Salary: Depends on Experience and Qualification
PostDocs: $40,512-$55,668
Research Positions: $53,900-$71,400
Others: Open
Date for Accepting Applications: August 2004
Closing Date: Nov. 2004
Review process Begins: September 2004
Starting Date: Oct. 2004-Jan 2005



Please forward your CV and supporting information including copy of
three published papers in refereed journals (relevant to the position
and the field that you are applying for), and cover letter to:

M. Nikravesh
BISC Associate Director
199MF Cory Hall
EECS Department
University of Calaifornia-Berkeley
Berkeley, CA 94720

Or Email electronic copy to:
gmoizjagn@eecs.berkeley.edu in Subject (Applying for Position at BISC
Program)

================================================
================================================
******************************************************


-- How to Join BISC Program:
---------------------------------
http://www-bisc.cs.berkeley.edu/BISCProgram/Sponsors.htm


-----------------------------------------------------------------
****************************************************

-- BISC Associate Program
-------------------------------

http://www-bisc.cs.berkeley.edu/BISCProgram/Associate.htm

-----------------------------------------------------------------
****************************************************



--------------------------------------------------------------------
If you ever want to remove yourself from this mailing list,
you can send mail to  with the following
command in the body of your email message:
unsubscribe bisc-group
or from another account,
unsubscribe bisc-group",legit,Human-written,deterministic,legit,Human-written
"Re: Mail attachements truncated On Fri, Feb 08, 2008 at 09:22:15PM +0100, Jakub Nadolny wrote:

> Hm, so that looks strange - there is no before-queue but mail is
> delivered anyway.

Not strange at all if ""."" precedes the disconnect. In that
case it is just a failure to send QUIT.

-- 
	Viktor.

Disclaimer: off-list followups get on-list replies or get ignored.
Please do not ignore the ""Reply-To"" header.

To unsubscribe from the postfix-users list, visit
http://www.postfix.org/lists.html or click the link below:


If my response solves your problem, the best way to thank me is to not
send an ""it worked, thanks"" follow-up. If you must respond, please put
""It worked, thanks"" in the ""Subject"" so I can delete these quickly.",legit,Human-written,ai,legit,Human-written
"Re: Mail attachements truncated On Fri, Feb 08, 2008 at 09:22:15PM +0100, Jakub Nadolny wrote:

> Hm, so that looks strange - there is no before-queue but mail is
> delivered anyway.

Not strange at all if ""."" precedes the disconnect. In that
case it is just a failure to send QUIT.

-- 
	Viktor.

Disclaimer: off-list followups get on-list replies or get ignored.
Please do not ignore the ""Reply-To"" header.

To unsubscribe from the postfix-users list, visit
http://www.postfix.org/lists.html or click the link below:


If my response solves your problem, the best way to thank me is to not
send an ""it worked, thanks"" follow-up. If you must respond, please put
""It worked, thanks"" in the ""Subject"" so I can delete these quickly.",legit,Human-written,deterministic,legit,Human-written
